keys,ru,kk
OBJ_38_DESC,"Напольный стенд кинематики большегрузного транспорта. Состоит из приводного электродвигателя, карданной передачи и ведущего моста с колесными редукторами. Корпуса имеют вырезы для визуального изучения шестерен и валов.","Ауыр жүк көлігі кинематикасының едендік стенді. Жетекші электр қозғалтқышынан, кардандық берілістен және дөңгелек редукторлары бар жетекші көпірден тұрады. Корпустарда тісті дөңгелектер мен біліктерді көзбен шолып зерттеуге арналған ойықтар бар."
OBJ_39_TITLE,"3D-принтер ZENIT","ZENIT 3D-принтері"
OBJ_39_DESC,"Настольный 3D-принтер ZENIT (FDM) в закрытом корпусе. Оснащен экструдером, рабочей платформой и панелью управления.","Жабық корпустағы ZENIT үстел үсті 3D-принтері (FDM). Экструдермен, жұмыс платформасымен және басқару панелімен жабдықталған."
OBJ_40_TITLE,"Рабочее место для пайки и ремонта электроники","Электрониканы дәнекерлеуге және жөндеуге арналған жұмыс орны"
OBJ_40_DESC,"Оборудованный стол для ремонта электроники. Содержит лабораторный блок питания, термостойкий силиконовый коврик, химические реагенты (флюс, изопропанол) и прецизионный инструмент.","Электрониканы жөндеуге жабдықталған үстел. Зертханалық қуат блогын, термотөзімді силикон кілемшені, химиялық реагенттерді (флюс, изопропанол) және дәлдік құралдарын қамтиды."
OBJ_41_TITLE,"Учебно-лабораторный стенд «Электрооборудование подъемного крана»","«Көтергіш кранның электр жабдықтары» оқу-зертханалық стенді"
OBJ_41_DESC,"Шкаф управления на мобильной платформе для изучения систем электропривода грузоподъемных механизмов. Оснащен контроллером, кнопками управления, переключателями режимов и цифровыми индикаторами (производство Zarnitza).","Жүк көтергіш механизмдердің электр жетегі жүйелерін зерттеуге арналған мобильді платформадағы басқару шкафы. Контроллермен, басқару батырмаларымен, режимдерді ауыстырып-қосқыштармен және цифрлық индикаторлармен жабдықталған (Zarnitza өндірісі)."
OBJ_42_TITLE,"Учебно-лабораторный стенд «Электрооборудование вентиляторной установки»","«Вентилятор қондырғысының электр жабдықтары» оқу-зертханалық стенді"
OBJ_42_DESC,"Мобильный шкаф автоматики и управления промышленными вентиляционными системами. Включает панель оператора, органы ручного управления, индикацию состояния и встроенные системы защиты (производство Zarnitza).","Өнеркәсіптік желдету жүйелерін басқаруға және автоматтандыруға арналған мобильді шкаф. Оператор панелін, қолмен басқару органдарын, күй индикациясын және кіріктірілген қорғаныс жүйелерін қамтиды (Zarnitza өндірісі)."
OBJ_43_TITLE,"Физическая модель вентиляторной установки","Вентилятор қондырғысының физикалық моделі"
OBJ_43_DESC,"Действующий макет промышленного центробежного вентилятора с асинхронным электродвигателем и вертикальным воздуховодом. Оснащен измерительными датчиками для изучения аэродинамических характеристик и режимов работы электропривода.","Асинхронды электр қозғалтқышы және тік ауа өткізгіші бар өнеркәсіптік центрден тепкіш вентилятордың жұмыс істеп тұрған макеті. Аэродинамикалық сипаттамаларды және электр жетегінің жұмыс режимдерін зерттеуге арналған өлшеу датчиктерімен жабдықталған."
OBJ_44_TITLE,"Физическая модель грузоподъемного механизма","Жүк көтергіш механизмнің физикалық моделі"
OBJ_44_DESC,"Лабораторная установка в прозрачном защитном корпусе, демонстрирующая работу подъемного механизма. Включает тросово-блочную систему, направляющие и наборный противовес (груз) для исследования кинематики и динамики электропривода.","Көтергіш механизмнің жұмысын көрсететін мөлдір қорғаныс корпусындағы зертханалық қондырғы. Электр жетегінің кинематикасы мен динамикасын зерттеуге арналған трос-блоктық жүйені, бағыттауыштарды және жиналмалы қарсы салмақты (жүкті) қамтиды."
OBJ_45_TITLE,"Учебно-лабораторный стенд «Устройство плавного пуска и преобразователь частоты»","«Бірқалыпты іске қосу құрылғысы және жиілік түрлендіргіші» оқу-зертханалық стенді"
OBJ_45_DESC,"Напольный шкаф управления для изучения современных методов регулирования скорости и запуска электродвигателей. Содержит промышленный частотный преобразователь, модули защиты и выведенную на лицевую панель систему управления (производство Zarnitza).","Электр қозғалтқыштарын іске қосудың және жылдамдығын реттеудің заманауи әдістерін зерттеуге арналған едендік басқару шкафы. Өнеркәсіптік жиілік түрлендіргішті, қорғаныс модульдерін және алдыңғы панельге шығарылған басқару жүйесін қамтиды (Zarnitza өндірісі)."
OBJ_46_TITLE,"Стенд «Сетевая безопасность (Cisco)»","«Желілік қауіпсіздік (Cisco)» оқу стенді"
OBJ_46_DESC,"Учебно-лабораторный комплекс для изучения методов защиты компьютерных сетей, настройки межсетевых экранов, маршрутизаторов и коммутаторов Cisco, а также организации защищенных VPN-каналов и систем предотвращения вторжений.","Компьютерлік желілерді қорғау әдістерін зерттеуге, Cisco желіаралық экрандарын, маршрутизаторлары мен коммутаторларын баптауға, сондай-ақ қорғалған VPN-арналарын және басып кірудің алдын алу жүйелерін ұйымдастыруға арналған оқу-зертханалық кешен."
OBJ_47_TITLE,"Стенд «Корпоративные компьютерные сети КВС (Cisco)»","«Корпоративтік компьютерлік желілер КҚЖ (Cisco)» оқу стенді"
OBJ_47_DESC,"Лабораторный комплекс для проектирования, настройки и администрирования масштабных корпоративных сетей на базе оборудования Cisco. Позволяет отрабатывать навыки маршрутизации, коммутации, построения отказоустойчивых топологий и управления сетевой инфраструктурой.","Cisco жабдықтары негізінде ауқымды корпоративтік желілерді жобалауға, баптауға және әкімшілендіруге арналған зертханалық кешен. Маршруттау, коммутациялау, ақаулыққа төзімді топологияларды құру және желілік инфрақұрылымды басқару дағдыларын дамытуға мүмкіндік береді."
U_FLOOR_1,"Учебный корпус - 1 этаж","Оқу корпусы - 1 қабат"
U_FLOOR_2,"Учебный корпус - 2 этаж","Оқу корпусы - 2 қабат"
U_FLOOR_3,"Учебный корпус - 3 этаж","Оқу корпусы - 3 қабат"
U_FLOOR_4,"Учебный корпус - 4 этаж","Оқу корпусы - 4 қабат"
P_FLOOR_1,"Производственный корпус - 1 этаж","Өндірістік корпус - 1 қабат"
P_FLOOR_2,"Производственный корпус - 2 этаж","Өндірістік корпус - 2 қабат"
P_FLOOR_3,"Производственный корпус - 3 этаж","Өндірістік корпус - 3 қабат"
UI_CANCEL,"Отмена","Бас тарту"
UI_CONT,"ПРОДОЛЖИТЬ","ЖАЛҒАСТЫРУ"
UI_EXIT,"ВЫЙТИ","ШЫҒУ"
UI_START,"НАЧАТЬ","БАСТА"
UI_TUTOR,"УПРАВЛЕНИЕ","БАСҚАРУ"
UI_BACK,"НАЗАД","БАС ТАРТУ"
TR_LOADING,"Загрузка...","Жүктелуде..."
TR_MOUNTING,"Монтирование ресурсов...","Ресурстарды орнату..."
TR_DOWNLOADING,"Скачивание...","Жүктеп алынуда..."
TR_ERROR_MOUNT,"Ошибка монтирования пакета!","Пакетті орнату қатесі!"
TR_ERROR_LEVEL,"Ошибка структуры уровня!","Деңгей құрылымының қатесі!"
